CompanyID;CompanyAcronym;CompanyName;SignalID;HistorianID;HistorianAcronym;HistorianConnectionString;PointID;PointTag;AlternateTag;DeviceID;NodeID;DeviceAcronym;DeviceName;FramesPerSecond;DeviceEnabled;ContactList;VendorDeviceID;VendorDeviceName;VendorDeviceDescription;ProtocolID;ProtocolAcronym;ProtocolName;SignalTypeID;PhasorSourceIndex;PhasorLabel;PhasorType;Phase;BaseKV;SignalReference;Adder;Multiplier;Description;Subscribed;Internal;Enabled;EngineeringUnits;Source;SignalAcronym;SignalName;SignalTypeSuffix;Longitude;Latitude;ID;UpdatedOn
;;;c229fe81-6952-47ec-b606-91276e5f6eec;2;STAT;;21;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST7;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST7;0.0;1.0;Publisher statistic for The minimum number of measurements sent per second during the last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:21;12/05/2021 21:34
;;;102b6bf2-b4c9-4628-bf8a-36c62740758b;2;STAT;;22;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST8;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST8;0.0;1.0;Publisher statistic for The maximum number of measurements sent per second during the last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:22;12/05/2021 21:34
;;;84fd362f-7b55-4de0-a425-34021642bfd5;2;STAT;;23;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST9;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST9;0.0;1.0;Publisher statistic for The average number of measurements sent per second during the last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:23;12/05/2021 21:34
;;;d20b1d2a-0dcd-48c5-98cb-574443d75dc4;2;STAT;;24;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST10;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST10;0.0;1.0;Publisher statistic for Minimum latency from output stream, in milliseconds, during the lifetime of the publisher.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:24;12/05/2021 21:34
;;;807c04aa-fc6e-4fe9-be29-f5b967cd8351;2;STAT;;25;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST11;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST11;0.0;1.0;Publisher statistic for Maximum latency from output stream, in milliseconds, during the lifetime of the publisher.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:25;12/05/2021 21:34
;;;2e1b4629-af3c-44ff-b3d0-6538b5e9af4a;2;STAT;;26;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST12;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST12;0.0;1.0;Publisher statistic for Average latency from output stream, in milliseconds, during the lifetime of the publisher.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:26;12/05/2021 21:34
;;;e7b1a589-378d-43ce-bacc-92cb70d3124b;2;STAT;;27;ONS_EXTERNAL!DATAPUBLISHER!PUB:ST13;;;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;;;30;;;;;;;;;11;;;;;;EXTERNAL!DATAPUBLISHER!PUB-ST13;0.0;1.0;Publisher statistic for Total number of seconds publisher has been running.;0;1;1;;Any;STAT;Statistic;ST;;;STAT:27;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;ec73f2ee-aca3-4c92-920c-6aa0b1ce6a24;2;STAT;;28;TVA_TESTDEVICE!PMU:ST1;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST1;0.0;1.0;Device statistic for Number of data quality errors reported by device during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:28;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;8823a2de-37b5-4a68-ac0e-5a9916d5e45d;2;STAT;;29;TVA_TESTDEVICE!PMU:ST2;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST2;0.0;1.0;Device statistic for Number of time quality errors reported by device during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:29;12/05/2021 21:34
30;TVA;Tennessee Valley Authority;71110fa1-9e36-494a-bce2-4e2baa36756c;2;STAT;;30;TVA_TESTDEVICE!PMU:ST3;;1;8736f6c7-ad41-4b43-b4f6-e684e0d4ad20;TESTDEVICE;Test Device;30;1;;2;ABB-521;ABB RES521;4;Ieee1344;IEEE 1344-1995;11;;;;;;TESTDEVICE!PMU-ST3;0.0;1.0;Device statistic for Number of device errors reported by device during last reporting interval.;0;1;1;;Any;STAT;Statistic;ST;-898.038;353.871;STAT:30;12/05/2021 21:34
